oldUrl,oldPath,oldFamily,inOldSitemap,unchangedPathInNewSitemap,candidateTarget,candidateInNewSitemap,mappingClass,candidateSource,clearReplacementClass,clearReplacementTarget,reasonWithoutClearReplacement
https://rockbusters.net/event-date/climbing-trip-europe--2019-08-17-206,/event-date/climbing-trip-europe--2019-08-17-206,/event-date,true,false,/trips?category=expeditions,false,category-fallback-ready,all-old-url-inventory.csv,,,category-fallback-ready
https://rockbusters.net/event-date/beginners-climbing--2018-07-07-167,/event-date/beginners-climbing--2018-07-07-167,/event-date,true,false,/trips?category=sport-climbing-courses,false,category-fallback-ready,all-old-url-inventory.csv,,,category-fallback-ready
https://rockbusters.net/event/singing-rock-mobile-test-center,/event/singing-rock-mobile-test-center,/event,true,false,,false,missing-target,,,,missing-target
https://rockbusters.net/event/beginners-climbing,/event/beginners-climbing,/event,true,false,/trips/beginner-climbing-course,false,target-not-indexable-or-unverified,all-old-url-inventory.csv,,,target-not-indexable-or-unverified
https://rockbusters.net/event/trad-and-multipitch-climbing,/event/trad-and-multipitch-climbing,/event,true,false,/trips/multipitch-climbing-course,false,target-not-indexable-or-unverified,all-old-url-inventory.csv,,,target-not-indexable-or-unverified
https://rockbusters.net/event/sandstone-climbing,/event/sandstone-climbing,/event,true,false,/trips/sandstone-climbing,false,target-not-indexable-or-unverified,all-old-url-inventory.csv,,,target-not-indexable-or-unverified
https://rockbusters.net/event/climbing-coaching-on-sight-red-point,/event/climbing-coaching-on-sight-red-point,/event,true,false,/trips/climbing-coaching-on-sight-red-point,false,target-not-indexable-or-unverified,all-old-url-inventory.csv,,,target-not-indexable-or-unverified
https://rockbusters.net/event/climbing-coaching-footwork-balance,/event/climbing-coaching-footwork-balance,/event,true,false,/trips/climbing-coaching-footwork-balance,false,target-not-indexable-or-unverified,all-old-url-inventory.csv,,,target-not-indexable-or-unverified
https://rockbusters.net/event/climbing-coaching-overhangs,/event/climbing-coaching-overhangs,/event,true,false,/trips/climbing-coaching-overhangs,false,target-not-indexable-or-unverified,all-old-url-inventory.csv,,,target-not-indexable-or-unverified
https://rockbusters.net/event/climbing-weekends,/event/climbing-weekends,/event,true,false,,false,missing-target,,,,missing-target
https://rockbusters.net/event/christmas-climbing-holiday,/event/christmas-climbing-holiday,/event,true,false,,false,missing-target,,,,missing-target
https://rockbusters.net/event/easter-climbing-in-sella,/event/easter-climbing-in-sella,/event,true,false,,false,missing-target,,,,missing-target
https://rockbusters.net/event/rockbusters-climbing-express,/event/rockbusters-climbing-express,/event,true,false,,false,missing-target,,,,missing-target
https://rockbusters.net/event/rockbusters-private-guiding,/event/rockbusters-private-guiding,/event,true,false,,false,missing-target,,,,missing-target
https://rockbusters.net/event/adam-ondra-on-sight-red-point,/event/adam-ondra-on-sight-red-point,/event,true,false,/trips/adam-ondra-on-sight-red-point,false,target-not-indexable-or-unverified,all-old-url-inventory.csv,,,target-not-indexable-or-unverified
https://rockbusters.net/event/patxi-usobiaga-training,/event/patxi-usobiaga-training,/event,true,false,/trips/patxi-usobiaga-training,false,target-not-indexable-or-unverified,all-old-url-inventory.csv,,,target-not-indexable-or-unverified
https://rockbusters.net/event/biomechanica-funcional,/event/biomechanica-funcional,/event,true,false,,false,missing-target,,,,missing-target
https://rockbusters.net/event/adam-ondra-patxi-usobiaga-work-shop,/event/adam-ondra-patxi-usobiaga-work-shop,/event,true,false,,false,missing-target,,,,missing-target
https://rockbusters.net/event/daila-ojeda-climbing-work-shop,/event/daila-ojeda-climbing-work-shop,/event,true,false,,false,missing-target,,,,missing-target
https://rockbusters.net/event/hazel-findlay-mental-coaching,/event/hazel-findlay-mental-coaching,/event,true,false,/trips/hazel-findlay-mental-coaching,false,target-not-indexable-or-unverified,all-old-url-inventory.csv,,,target-not-indexable-or-unverified
https://rockbusters.net/event/alpine-rock-climbing-in-chamonix,/event/alpine-rock-climbing-in-chamonix,/event,true,false,,false,missing-target,,,,missing-target
https://rockbusters.net/event/klemen-becan-performance-coaching-privat,/event/klemen-becan-performance-coaching-privat,/event,true,false,,false,missing-target,,,,missing-target
https://rockbusters.net/event/deep-water-solo-sailing-mallorca,/event/deep-water-solo-sailing-mallorca,/event,true,false,,false,missing-target,,,,missing-target
https://rockbusters.net/event/rockbusters-summer-2018,/event/rockbusters-summer-2018,/event,true,false,,false,missing-target,,,,missing-target
https://rockbusters.net/event-date/klemen-becan-performance-coaching-workshop--2018-07-14-203,/event-date/klemen-becan-performance-coaching-workshop--2018-07-14-203,/event-date,true,false,/trips?category=performance-technique-camps,false,category-fallback-ready,all-old-url-inventory.csv,,,category-fallback-ready
https://rockbusters.net/event-date/climbing-trip-europe--2018-08-25-183,/event-date/climbing-trip-europe--2018-08-25-183,/event-date,true,false,/trips?category=expeditions,false,category-fallback-ready,all-old-url-inventory.csv,,,category-fallback-ready
https://rockbusters.net/event-date/sport-climbing--2018-10-06-188,/event-date/sport-climbing--2018-10-06-188,/event-date,true,false,/trips?category=sport-climbing-holidays,false,category-fallback-ready,all-old-url-inventory.csv,,,category-fallback-ready
https://rockbusters.net/event-date/girls-climbing--2018-06-09-174,/event-date/girls-climbing--2018-06-09-174,/event-date,true,false,/trips?category=sport-climbing-holidays,false,category-fallback-ready,all-old-url-inventory.csv,,,category-fallback-ready
https://rockbusters.net/event-date/adam-ondra-patxi-usobiaga-work-shop--2018-03-17-140,/event-date/adam-ondra-patxi-usobiaga-work-shop--2018-03-17-140,/event-date,true,false,/trips?category=performance-technique-camps,false,category-fallback-ready,all-old-url-inventory.csv,,,category-fallback-ready
https://rockbusters.net/event-date/adam-ondra-patxi-usobiaga-work-shop--2018-03-10-132,/event-date/adam-ondra-patxi-usobiaga-work-shop--2018-03-10-132,/event-date,true,false,/trips?category=performance-technique-camps,false,category-fallback-ready,all-old-url-inventory.csv,,,category-fallback-ready
https://rockbusters.net/event-date/climbing-trip-spain--2018-03-31-133,/event-date/climbing-trip-spain--2018-03-31-133,/event-date,true,false,/trips?category=expeditions,false,category-fallback-ready,all-old-url-inventory.csv,,,category-fallback-ready
https://rockbusters.net/event-date/climbing-trip-spain--2018-04-07-142,/event-date/climbing-trip-spain--2018-04-07-142,/event-date,true,false,/trips?category=expeditions,false,category-fallback-ready,all-old-url-inventory.csv,,,category-fallback-ready
https://rockbusters.net/event-date/sandstone-climbing--2018-06-23-178,/event-date/sandstone-climbing--2018-06-23-178,/event-date,true,false,/trips?category=trad-multipitch,false,category-fallback-empty-category,all-old-url-inventory.csv,,,category-fallback-empty-category
